Id;UserId;UpdatedAt;EventId;RoundId;Distance;RoundScore
1;Bodo;2020-10-15 11:32:27.620;870;9;4;NULL
2;Amadeusz;2020-10-15 08:15:13.777;870;9;4;NULL
3;Bodo;2020-10-15 16:57:46.070;870;10;4;NULL
4;Amadeusz;2020-10-15 17:05:05.277;870;10;4;NULL
5;Bodo;2020-10-16 08:01:34.657;870;13;5;NULL
6;Amadeusz;2020-10-16 07:06:26.897;870;13;5;NULL
7;Bodo;2020-10-17 10:02:57.297;870;14;6;NULL
8;Amadeusz;2020-10-17 11:21:57.977;870;14;6;NULL
9;Bodo;2020-10-18 07:42:10.467;870;15;9;NULL
10;Amadeusz;2020-10-18 08:47:36.400;870;15;9;NULL
